CODIGO/ID;REFERENCIA;DESCRICAO;NCM;MOTIVO
1;33;"Desenvolvimento de Software Personalizado";0000.00.00;"Sem correspondência na TIPI (NCM)"
65;;"MUDA DE PLANTA BOLEIRA (DANDA)";6029090;"Sem correspondência na TIPI (NCM)"
66;;"MUDA DE PLANTA GUAPURUVU";6029090;"Sem correspondência na TIPI (NCM)"
67;;"MUDA DE PLANTA INGA CAIXAO";0;"Sem correspondência na TIPI (NCM)"
68;;"MUDA DE PLANTA INGA CIPO";6029090;"Sem correspondência na TIPI (NCM)"
69;;"MUDA DE PLANTA INGA METRO";6029090;"Sem correspondência na TIPI (NCM)"
70;;"MUDA DE PLANTA INGA FEIJAO";6029090;"Sem correspondência na TIPI (NCM)"
71;;"MUDA DE PLANTA IPE-AMARELO";6029090;"Sem correspondência na TIPI (NCM)"
72;;"MUDA DE PLANTA JAMBO";6029090;"Sem correspondência na TIPI (NCM)"
73;;"MUDA DE PLANTA SETE CASCA";6029090;"Sem correspondência na TIPI (NCM)"
74;;"MUDA EM SAQUINHO , ESPECIE ANGELIM";6029090;"Sem correspondência na TIPI (NCM)"
75;;"MUDA EM SAQUINHO , ESPECIE AROEIRA PIMENTEIRA";6029090;"Sem correspondência na TIPI (NCM)"
76;;"MUDA EM SAQUINHO , ESPECIE AROEIRA VERDADEIRA";6029090;"Sem correspondência na TIPI (NCM)"
77;;"MUDA EM SAQUINHO , ESPECIE BOLEIRA DANDA";6029090;"Sem correspondência na TIPI (NCM)"
78;;"MUDA EM SAQUINHO , ESPECIE BURANHEM";6029090;"Sem correspondência na TIPI (NCM)"
79;;"MUDA EM SAQUINHO , ESPECIE CAJA";6029090;"Sem correspondência na TIPI (NCM)"
80;;"MUDA EM SAQUINHO , ESPECIE CANAFISTULA";6029090;"Sem correspondência na TIPI (NCM)"
81;;"MUDA EM SAQUINHO , ESPECIE CEDRO";6029090;"Sem correspondência na TIPI (NCM)"
82;;"MUDA EM SAQUINHO , ESPECIE GUAPURUVU";6029090;"Sem correspondência na TIPI (NCM)"
83;;"MUDA EM SAQUINHO , INGA CAIXAO";6029090;"Sem correspondência na TIPI (NCM)"
84;;"MUDA EM SAQUINHO , ESPECIE INGAR CIPO";6029090;"Sem correspondência na TIPI (NCM)"
85;;"MUDA EM SAQUINHO , ESPECIE INGA DE METRO";6029090;"Sem correspondência na TIPI (NCM)"
86;;"MUDA EM SAQUINHO , ESPECIE INGA FEIJAO";6029090;"Sem correspondência na TIPI (NCM)"
87;;"MUDA EM SAQUINHO , ESPECIE INHAIBA";6029090;"Sem correspondência na TIPI (NCM)"
88;;"MUDA EM SAQUINHO , ESPECIE IPE ROXO";6029090;"Sem correspondência na TIPI (NCM)"
