CODIGO/ID;REFERENCIA;DESCRICAO;NCM;MOTIVO
3;3333;"Teste automÃ¡tico de circuito impresso montado (ATE)";9030.84.10;"Sem correspondência na TIPI (NCM)"
14;;"CESTO DE LIXO, TELADO POLIPROPILENO, CAPACIDADE DE 10L-GIGAPLAST";9619.00.00;"Sem correspondência na TIPI (NCM)"
15;;"DESODORANTE PEDRA SANITARIA";9619.00.00;"Sem correspondência na TIPI (NCM)"
16;1231321321231;"DESODORIZADOR 360 ML";9619.00.00;"Sem correspondência na TIPI (NCM)"
17;;"ESCOVA SANITARIA COM SUPORTE";96190000;"Sem correspondência na TIPI (NCM)"
18;;ESPANADOR;96138000;"Sem correspondência na TIPI (NCM)"
19;;"ESPONJA LIMPEZA- MATERIAL LÃƒ DEAÃ‡O";39241000;"Sem correspondência na TIPI (NCM)"
20;;"PA DE LIXO CABO EM ALUMINIO COM 60 CM , BASE PVC QUADRADA DIM: 19CM X 90XCM - SANMARCUS";96190000;"Sem correspondência na TIPI (NCM)"
21;;"PA DE LIXO CABO EM ALUMINIO COM 60 CM , BASE PVC QUADRADA DIM: 19CM X 90XCM - SANMARCUS";96190000;"Sem correspondência na TIPI (NCM)"
22;;"SABÃƒO EM PÃ“ 500G";96190000;"Sem correspondência na TIPI (NCM)"
23;;"VASSOURA PARA GRAMA, COMPRIM DO CABO 1,2M , DENTES DA 18 PALHETAS";28289011;"Sem correspondência na TIPI (NCM)"
24;;"VASSOURA PIAÃ‡AVA";56012110;"Sem correspondência na TIPI (NCM)"
25;;"VASSOURA - VASSOURA DE PIAÃ‡AVA TIPO GARI 40CM (VASSOURÃƒO) - SAN MARCUS";33059000;"Sem correspondência na TIPI (NCM)"
26;;"VASSOURA - VASSOURA DE PELO COM BASE MADEIRA CABO DE 1,2O M COMPRIM";96138000;"Sem correspondência na TIPI (NCM)"
27;;"SABONETE 90G";96190000;"Sem correspondência na TIPI (NCM)"
28;;"SABÃƒO EM PÃ“ 500G";96190000;"Sem correspondência na TIPI (NCM)"
29;;"PANO DE CHÃƒO";96190000;"Sem correspondência na TIPI (NCM)"
30;;"PA DE LIXO CABO EM ALUMINIO COM 60 CM , BASE PVC QUADRADA DIM: 19CM X 90XCM - SANMARCUS";96190000;"Sem correspondência na TIPI (NCM)"
31;;"PANO DE CHÃƒO";96190000;"Sem correspondência na TIPI (NCM)"
32;;"PA DE LIXO CABO EM ALUMINIO COM 60 CM , BASE PVC QUADRADA DIM: 19CM X 90XCM - SANMARCUS";96190000;"Sem correspondência na TIPI (NCM)"
33;;"PA DE LIXO CABO EM ALUMINIO COM 60 CM , BASE PVC QUADRADA DIM: 19CM X 90XCM - SANMARCUS";96190000;"Sem correspondência na TIPI (NCM)"
34;;"FOSBOVI NUCLEO PROTEICO ISENTOREG IN42";23099090;"Sem correspondência na TIPI (NCM)"
35;;"FOSBOVI PRONTO ISENTOREG IN42";23099090;"Sem correspondência na TIPI (NCM)"
36;;"SUCATA DE ALUMINIO";76020000;"Sem correspondência na TIPI (NCM)"
37;;"GUABIPHOS 90 REPRODUCAO 30KG";23099090;"Sem correspondência na TIPI (NCM)"
38;;"SAL COMUM 25 KG GROSSO";25010011;"Sem correspondência na TIPI (NCM)"
202;;"PISO ESMALTADO PARQUET 58 X 58 REF. PSI-67040 A";6907.22.00;"Sem correspondência na TIPI (NCM)"
